phase,dev,Duration(ms)
boot,spawn_ksoftirqd,0.060999999999998555
boot,init_tstats_procfs,0.0
boot,proc_cpu_init,0.031000000000003247
boot,nf_nat_tftp_init,0.031000000000003247
boot,twofish_mod_init,0.060999999999991616
boot,ipv6header_mt6_init,0.02999999999997449
boot,zx297520v3_freq_register,0.031000000000003247
boot,proc_interrupts_init,0.030000000000002247
boot,des_generic_mod_init,0.12199999999999711
boot,init_sg,0.15300000000000036
boot,proc_softirqs_init,0.03099999999998937
boot,suspend_time_debug_init,0.031000000000003247
boot,init_sd,0.33600000000000296
boot,cpufreq_gov_userspace_init,0.02999999999997449
boot,init_clocksource_sysfs,0.5190000000000056
boot,init_sr,0.12199999999999711
boot,blk_iopoll_setup,0.02999999999998837
boot,nfnl_acct_init,0.06099999999997774
boot,loop_init,4.6689999999999925
boot,ksysfs_init,0.030000000000002247
boot,proto_init,0.030000000000002247
boot,net_dev_init,0.7319999999999965
boot,kswapd_init,0.060999999999991616
boot,zx_cpufreq_init,0.24400000000002198
boot,nf_conntrack_l3proto_ipv4_init,0.21400000000004749
boot,init_nls_iso8859_1,0.0
boot,proc_page_init,0.031000000000003247
boot,pm_sysrq_init,0.0
boot,eventpoll_init,0.03099999999998937
boot,krng_mod_init,0.09199999999999486
boot,power_supply_class_init,0.09099999999999386
boot,proc_cpuinfo_init,0.03099999999998937
boot,init_timer_list_procfs,0.0
boot,pid_namespaces_init,0.02999999999998837
boot,ip_tables_init,0.06099999999997774
boot,app_assert_msg_init,0.02999999999997449
boot,crypto_algapi_init,0.0
boot,pm_debugfs_init,0.031000000000003247
boot,sha1_generic_mod_init,0.060999999999991616
boot,i2c_dev_init,0.6099999999999994
boot,init_posix_timers,0.02999999999998837
boot,init_em_u32,0.031000000000003247
boot,cpufreq_interactive_init,0.21399999999999197
boot,zxic_enable_trace,0.12199999999999711
boot,gpiolib_sysfs_init,0.15300000000000036
boot,ddrnet_init,6.317000000000017
boot,net_sysctl_init,0.031000000000003247
boot,init_workqueues,0.15300000000000036
boot,init_mtdchar,0.031000000000003247
boot,watchdog_init,0.3969999999999807
boot,init_devpts_fs,0.060999999999991616
boot,pty_init,2.015000000000003
boot,param_sysfs_init,27.801999999999992
boot,populate_rootfs,0.18399999999998973
boot,nf_conntrack_irc_init,0.031000000000003247
boot,sfq_module_init,0.0
boot,zx234290_i2c_init,0.12200000000001099
boot,proc_execdomains_init,0.030000000000002247
boot,lpddr_probe_init,0.0
boot,init_u32,0.09199999999998099
boot,dscp_mt_init,0.02999999999997449
boot,sysctl_ipv4_init,0.24400000000002198
boot,tsp_fastlocal_init,0.02999999999997449
boot,proc_uptime_init,0.0
boot,debugfs_init,0.0
boot,nf_nat_standalone_init,0.06100000000008876
boot,vlan_proto_init,0.06099999999997774
boot,crc32c_mod_init,0.061000000000005494
boot,nf_ct_proto_gre_init,0.031000000000003247
boot,sysctl_core_init,0.09200000000000874
boot,dscp_tg_init,0.031000000000003247
boot,iptable_filter_init,0.09099999999995223
boot,ebtable_filter_init,0.06099999999997774
boot,initialize_usb_detect_ipc_init,0.09199999999998099
boot,tbf_module_init,0.031000000000003247
boot,kallsyms_init,0.030000000000002247
boot,snap_init,0.06100000000008876
boot,input_init,0.12199999999999711
boot,tc_action_init,0.0
boot,init_nls_cp936,0.0
boot,nf_conntrack_h323_init,0.030000000000085514
boot,cpuidle_init,0.03099999999999631
boot,proc_modules_init,0.03099999999998937
boot,dma_debug_do_init,0.030000000000002247
boot,mm_sysfs_init,0.030000000000002247
boot,esp4_init,0.0
boot,init_fat_fs,0.03099999999998937
boot,timer_trig_init,0.02999999999997449
boot,xfrm4_mode_tunnel_init,0.031000000000003247
boot,flow_cache_init_global,0.09199999999998099
boot,packet_init,0.09199999999998099
boot,mac_mt_init,0.030000000000085514
