phase,dev,Duration(ms)
boot,proc_cpu_init,4.303000000000168
boot,nf_nat_tftp_init,4.761000000000237
boot,twofish_mod_init,4.729999999999901
boot,ipv6header_mt6_init,4.9440000000000595
boot,zx297520v3_freq_register,5.462999999999774
boot,proc_interrupts_init,5.126999999999882
boot,des_generic_mod_init,5.249000000000059
boot,init_sg,4.2119999999998825
boot,proc_softirqs_init,4.973999999999812
boot,suspend_time_debug_init,5.371000000000237
boot,init_sd,4.4559999999997935
boot,cpufreq_gov_userspace_init,5.555000000000199
boot,init_clocksource_sysfs,6.072999999999995
boot,init_sr,4.120000000000346
boot,blk_iopoll_setup,4.761000000000015
boot,nfnl_acct_init,9.369000000000405
boot,loop_init,10.620999999999992
boot,ksysfs_init,4.3640000000000345
boot,proto_init,4.18099999999999
boot,net_dev_init,5.18799999999997
boot,kswapd_init,4.395000000000149
boot,zx_cpufreq_init,24.475999999999942
boot,nf_conntrack_l3proto_ipv4_init,6.285999999999348
boot,init_nls_iso8859_1,4.882999999999971
boot,proc_page_init,4.6080000000001675
boot,pm_sysrq_init,4.48599999999999
boot,eventpoll_init,4.63900000000006
boot,krng_mod_init,4.48599999999999
boot,power_supply_class_init,5.462999999999996
boot,proc_cpuinfo_init,4.8520000000000785
boot,init_timer_list_procfs,5.279000000000034
boot,pid_namespaces_init,5.066000000000015
boot,ip_tables_init,9.919000000000011
boot,app_assert_msg_init,5.035000000000345
boot,crypto_algapi_init,4.9440000000000595
boot,pm_debugfs_init,4.699999999999704
boot,sha1_generic_mod_init,5.18799999999997
boot,i2c_dev_init,8.51399999999991
boot,init_posix_timers,4.943999999999837
boot,init_em_u32,4.272000000000276
boot,cpufreq_interactive_init,5.676000000000014
boot,zxic_enable_trace,4.975000000000174
boot,gpiolib_sysfs_init,5.064999999999986
boot,ddrnet_init,10.741999999999585
boot,net_sysctl_init,4.669000000000034
boot,init_workqueues,4.913
boot,init_mtdchar,4.33400000000006
boot,watchdog_init,8.454000000000406
boot,init_devpts_fs,4.669999999999952
boot,pty_init,6.10299999999997
boot,param_sysfs_init,32.380000000000074
boot,populate_rootfs,4.914000000000085
boot,nf_conntrack_irc_init,5.278999999999812
boot,sfq_module_init,4.364000000000701
boot,zx234290_i2c_init,4.974999999999952
boot,proc_execdomains_init,5.219000000000085
boot,lpddr_probe_init,4.760999999999793
boot,init_u32,17.63899999999996
boot,dscp_mt_init,4.424999999999457
boot,sysctl_ipv4_init,5.004999999999704
boot,tsp_fastlocal_init,4.851999999999634
boot,proc_uptime_init,4.79099999999999
boot,debugfs_init,4.425000000000012
boot,nf_nat_standalone_init,5.309999999999704
boot,vlan_proto_init,8.881000000000583
boot,crc32c_mod_init,4.547000000000079
boot,nf_ct_proto_gre_init,5.156999999999634
boot,sysctl_core_init,4.852999999999996
boot,dscp_tg_init,4.45499999999921
boot,iptable_filter_init,5.065999999999349
boot,ebtable_filter_init,5.035000000000345
boot,initialize_usb_detect_ipc_init,28.900000000000148
boot,tbf_module_init,4.577000000000275
boot,kallsyms_init,4.5159999999999645
boot,snap_init,4.058000000000561
boot,input_init,4.454999999999876
boot,tc_action_init,4.6080000000001675
boot,init_nls_cp936,4.517000000000326
boot,nf_conntrack_h323_init,5.279999999999951
boot,cpuidle_init,4.454999999999987
boot,proc_modules_init,4.852999999999996
boot,dma_debug_do_init,4.851999999999856
boot,mm_sysfs_init,4.547000000000079
boot,esp4_init,4.18099999999999
boot,init_fat_fs,4.394000000000009
boot,timer_trig_init,4.577000000000275
boot,xfrm4_mode_tunnel_init,5.309999999999704
boot,flow_cache_init_global,5.431999999999881
boot,packet_init,8.790000000000298
boot,mac_mt_init,4.242000000000523
boot,topology_init,4.4560000000000155
boot,zx29_rpmsg_init,89.41599999999994
boot,ramdisk_execute_command,1524.6890000000003
boot,nfnetlink_init,9.307999999999872
boot,i2c_adap_zx29_init,15.686000000000089
boot,cplog_init,6.7750000000001975
boot,limit_mt_init,4.425000000000345
boot,physmap_init,4.607999999999723
boot,crypto_ecb_module_init,5.217999999999723
boot,gate_vma_init,4.303000000000057
boot,xfrm4_transport_init,5.126999999999882
boot,sysrq_init,4.272999999999971
boot,hmac_module_init,4.668999999999812
boot,blk_ioc_init,4.4559999999999045
boot,inet_init,58.13599999999997
boot,sock_diag_init,4.3639999999998125
boot,hl_tg_init,4.271999999999387
boot,mnl_init,4.120000000000346
boot,futex_init,4.241999999999857
boot,dma_bus_init,4.546999999999968
boot,cryptomgr_init,4.516999999999993
boot,inet_diag_init,4.578000000000415
boot,ppp_init,8.636000000000088
boot,ipc_ns_init,2.9910000000000214
boot,policy_mt_init,4.577000000000275
boot,xfrm_user_init,8.758000000000266
boot,nf_defrag_init,4.6080000000001675
boot,iptable_raw_init,4.79099999999999
boot,init_static_idmap,11.353000000000002
boot,init_scsi,7.935000000000025
boot,genl_init,4.242000000000079
boot,proc_meminfo_init,4.853000000000218
boot,setup_vmstat,4.454999999999876
boot,dw_mci_init,8.81899999999991
boot,fsnotify_init,4.516999999999993
boot,irq_pm_init_ops,4.669000000000034
boot,init_vfat_fs,4.2119999999998825
boot,pm_init,4.0280000000000316
